id;name;description;price;image;image_content_type
1;Shoes incentivize;aggregate;57456;../fake-data/blob/hipster.png;image/png
2;Industrial Villages;Awesome Investment;17135;../fake-data/blob/hipster.png;image/png
3;bypassing Stravenue IB;didactic;72179;../fake-data/blob/hipster.png;image/png
4;Metal;Avon AGP;93773;../fake-data/blob/hipster.png;image/png
5;synergize ADP facilitate;holistic;33970;../fake-data/blob/hipster.png;image/png
6;Stream Metal;Kids;26200;../fake-data/blob/hipster.png;image/png
7;Dollar Jewelery;invoice copying;38675;../fake-data/blob/hipster.png;image/png
8;turn-key;De-engineered Bedfordshire Balboa;35370;../fake-data/blob/hipster.png;image/png
9;Sleek Investor;utilisation;13126;../fake-data/blob/hipster.png;image/png
10;Tasty withdrawal Auto;override;20676;../fake-data/blob/hipster.png;image/png
